wmpid,cand_name,full_name,cand_office_st,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname
WMPID1399,"HOEVEN, JOHN",John Hoeven,ND,REP,John Hoeven,"John Hoeven (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Hoeven.jpg,John Hoeven,John_Hoeven.jpg,both,,,,,,,,,
WMPID1405,"BOLDUC, DONALD C.",Don Bolduc,NH,REP,Don Bolduc,"Don Bolduc (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DonBolduc.jpg,Don Bolduc,DonBolduc.jpg,both,,,,,,,,,
WMPID1445,"LEE, MIKE",Mike Lee,UT,REP,Mike Lee,"Mike Lee (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Lee_113th_Congress.jpg,Mike Lee,Mike_Lee_113th_Congress.jpg,both,,,,,,,,,
WMPID1450,"JOHNSON, RON HAROLD MR.",Ron Johnson,WI,REP,,,,,,left_only,,,,,,,,,
WMPID4671,"TSHIBAKA, KELLY",Kelly Tshibaka,AK,REP,Kelly Tshibaka,Kelly Tshibaka ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kelly_Tshibaka.jpg,Kelly Tshibaka,Kelly_Tshibaka.jpg,both,,,,,,,,,
WMPID4828,"CHESBRO, PATRICIA",Patricia Chesbro,AK,DEM,Patricia Chesbro,Patricia Chesbro ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patricia-Chesbro.PNG,Patricia Chesbro,Patricia-Chesbro.PNG,both,,,,,,,,,
WMPID4999,"KELLEY, BUZZ A.",Buzz Kelley,AK,REP,Buzz Kelley,Buzz Kelley ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Buzz-Kelley.PNG,Buzz Kelley,Buzz-Kelley.PNG,both,,,,,,,,,
WMPID3864,"BRITT, KATIE BOYD",Katie Boyd Britt,AL,REP,Katie Britt,"Katie Britt (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/brittkatie.jpg,Katie Britt,brittkatie.jpg,both,,,,,,,,,
WMPID2592,"SANDERS, JARMAL JABBAR REV",Jarmal Jabbar Sander,AL,UN,,,,,,left_only,,,,,,,,,
WMPID1966,"BOWERS, RICHARD ADAM MR.",Richard Adam Bowers,AL,NPA,,,,,,left_only,,,,,,,,,
WMPID3679,"BOYD, WILLIE EUGENE DR. JR.",Willie Eugene Jr. Boyd,AL,DEM,,,,,,left_only,,,,,,,,,
WMPID5101,"SOPHOCLEUS, JOHN",John Sophocleus,AL,LIB,John Sophocleus,"John Sophocleus (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_SophocleusAL.png,John Sophocleus,John_SophocleusAL.png,both,,,,,,,,,
WMPID1969,"JAMES, NATALIE",Natalie James,AR,DEM,Natalie James,"Natalie James (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Natalie-James.PNG,Natalie James,Natalie-James.PNG,both,,,,,,,,,
WMPID1592,"CATES, KENNETH",Kenneth Cates,AR,LIB,Kenneth Cates,"Kenneth Cates (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kenneth_Cates.jpg,Kenneth Cates,Kenneth_Cates.jpg,both,,,,,,,,,
WMPID1684,"SHIRRELL, STUART F",Stuart Shirrell,AR,IND,,,,,,left_only,,,,,,,,,
WMPID4444,"GANT, RICHARD 'NAP'",Nap Gant,AR,WI,,,,,,left_only,,,,,,,,,
