wmpid,face_url,face_category
WMPID5180,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/320px-JimmyCarterPortrait2.jpg,FormerPres
WMPID6,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/320px-Official_Portrait_of_President_Reagan_1981.jpg,FormerPres
WMPID5191,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg/320px-George_H._W._Bush_presidential_portrait_%28cropped%29.jpg,FormerPres
WMPID4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/320px-Bill_Clinton.jpg,FormerPres
WMPID5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/320px-George-W-Bush.jpeg,FormerPres
WMPID3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Official_portrait_of_Barack_Obama.jpg/320px-Official_portrait_of_Barack_Obama.jpg,FormerPres
WMPID1290,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/320px-Donald_Trump_official_portrait.jpg,FormerPres
WMPID1289,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/320px-Joe_Biden_presidential_portrait.jpg,FormerPres
WMPID10,https://www.supremecourt.gov/about/justice_pictures/Roberts_8807-16_Crop.jpg,SupremeCourt
WMPID11,https://www.supremecourt.gov/about/justice_pictures/Thomas_9366-024_Crop.jpg,SupremeCourt
WMPID9,https://www.supremecourt.gov/about/justice_pictures/Alito_9264-001-Crop.jpg,SupremeCourt
WMPID14,https://www.supremecourt.gov/about/justice_pictures/Sotomayor_9841-001-Crop.jpg,SupremeCourt
WMPID13,https://www.supremecourt.gov/about/justice_pictures/Kagan_10713-017-Crop.jpg,SupremeCourt
WMPID15,https://www.supremecourt.gov/about/justice_pictures/Gorsuch2.jpg,SupremeCourt
WMPID16,https://www.supremecourt.gov/about/justice_pictures/Kavanaugh 12221_005_crop.jpg,SupremeCourt
WMPID17,https://www.supremecourt.gov/about/justice_pictures/Barrett_102535_w151.jpg,SupremeCourt
WMPID5166,https://www.supremecourt.gov/about/justice_pictures/KBJackson2.jpg,SupremeCourt
WMPID5252,https://www.supremecourt.gov/about/justice_pictures/OConnorColor.jpg,SupremeCourt
WMPID5224,https://www.supremecourt.gov/about/justice_pictures/Kennedy-Official-2001-Crop.jpg,SupremeCourt
WMPID5202,https://www.supremecourt.gov/about/justice_pictures/Souter_7807-DHS-Formal.jpg,SupremeCourt
WMPID12,https://www.supremecourt.gov/about/justice_pictures/Breyer_8664-13-Crop.jpg,SupremeCourt
WMPID18,https://www.supremecourt.gov/about/justice_pictures/Official_Justice_Ginsburg_sm.jpg,SupremeCourt
WMPID5227,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/William_Rehnquist.jpg/220px-William_Rehnquist.jpg,SupremeCourt
