bp_office,bp_url,bp_cand_office
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tom_Palzer.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/PatHarris.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dr_RashBihari_Ghosh_headshot_photo__2018-05-29_at_11.46.17_PM.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/arun_profile.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/David_Hildebrand.JPG,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ErinCruz2.jpeg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/tursich.jpeg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alex-Padilla.jpg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Thompson_Parker1.jpg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan_ODowd1.jpeg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Meuser.PNG,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jon_Elist.jpg,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JamesBradley_California__fixed.JPG,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MyronHall.png,S
"https://ballotpedia.org/United_States_Senate_special_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DaphneBradford.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian_Peotter.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron-Hanks.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cory_Gardner__Official_Portrait__112th_Congress-7_fixed.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Raymon_Doane.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DannySkelly.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joe-ODea.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stephan_Seku_Evans.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Gaylon_Kent.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joshua_Rodriguez.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michael_Bennet.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JohnHickenlooper.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Andrew_Romanoff.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Frank_Atwood.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TJ-Cole.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/May242022433PM_104500298_DanielHendricks.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Matthew_Corey.jpg,S
